id,license_number,primary_owner,office_of_application,business_name,business_address,county,census_tract,licensee,license_type_status,status_date,original_issue_date,expiration_date,duplicate,conditions,operating_restrictions,disciplinary_action,disciplinary_history,holds,escrows,from_license_number,transferred_on,to_license_number,transferred_on2,place_name,website,types,business_status,fee_code,master,transfers,business_name_secondary,business_address_secondary,phone_number,yelp_link,yelp_name,yelp_phone,yelp_website,yelp_rating,entity_num,file_number,physical_address1,physical_address2,physical_address3,physical_city,physical_state,physical_country,physical_postal_code,agent_type,license_type,lic_or_app,type_status,type_orig_iss_date,expir_date,fee_codes,dup_counts,master_ind,term_in_number_of_months,geo_code,district,primary_name,prem_addr_1,prem_addr_2,prem_city,prem_state,prem_zip,dba_name,mail_addr_1,mail_addr_2,mail_city,mail_state,mail_zip,prem_county,prem_census_tract,initial_filing_date,jurisdiction,entity_status,standing_sos,entity_type,filing_type,foreign_name,standing_ftb,standing_vcfcf,standing_agent,suspension_date,last_si_file_number,last_si_file_date,llc_management_structure,type_of_business,entity_name,org_name,first_name,middle_name,last_name,address1,address2,address3,city,state,country,postal_code,position_1,position_2,position_3,position_4,position_5,position_6,position_7,output_lincense_file_status,yelp_file_status,agent_file_status,principal_file_status,filling_file_status,business_License_field_status,combine_information_filed_status
11803,403596,BANGKOK INTERNATIONAL INC,25 - SAN JOSE,THAIPHOON RESTAURANT,543 EMERSON ST   PALO ALTO  CA  94301,SANTA CLARA,5113.02,BANGKOK INTERNATIONAL INC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        07067140        Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            10                        POIC/Fine:            939.5,No Active Holds found,No Escrow found,,,N/A,,Thaiphoon restaurant,http://thaiphoononline.net/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,THAIPHOON RESTAURANT,543 EMERSON ST   PALO ALTO  CA  94301,+1 650-323-7700,https://www.yelp.nl/biz/thaiphoon-palo-alto?osq=THAIPHOON+RESTAURANT,,(650) 323-7700,https://thaiphoononline.net,3.3,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,BANGKOK INTERNATIONAL INC,543 EMERSON ST,,PALO ALTO,CA,94301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11804,408304,NUNEZ  GERMAN,11 - SANTA ANA,COSTA AZUL RESTAURANT,2401 S FAIRVIEW ST   SANTA ANA  CA  92704,ORANGE,741.06,NUNEZ  JORGE| NUNEZ  GERMAN| NUNEZ  ROBELICIA,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    SPECIAL HOLD                    Hold Date:                    29-MAR-2006,No Escrow found,,,N/A,,Costa Azul,https://www.eatcostaazul.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,COSTA AZUL RESTAURANT,2401 S FAIRVIEW ST   SANTA ANA  CA  92704,+1 714-434-7544,https://www.yelp.nl/biz/costa-azul-restaurant-santa-ana?osq=COSTA+AZUL+RESTAURANT,,(714) 434-7544,https://eatcostaazul.com,3.1,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,NUNEZ  GERMAN,2401 S FAIRVIEW ST,,SANTA ANA,CA,92704-5323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11805,411342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
11806,117568,WATER VIEW RESTAURANTS INC,10 - SAN DIEGO,EDGEWATER GRILL,861 W HARBOR DR   SAN DIEGO  CA  92101,SAN DIEGO,51.03,WATER VIEW RESTAURANTS INC,ACTIVE,,,,,N/A,The primary business of the licensed premises shall always remain a restaurant. There shall be no pool tables or coin operated games permitted on the premises. The quarterly annual sales of alcoholic beverages shall not exceed the quarterly annual sales of food.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Edgewater Grill,http://www.edgewatergrill.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,EDGEWATER GRILL,861 W HARBOR DR   SAN DIEGO  CA  92101,+1 619-232-7581,https://www.yelp.nl/biz/edgewater-grill-san-diego?osq=EDGEWATER+GRILL,,(619) 232-7581,https://edgewatergrill.com,2.9,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,WATER VIEW RESTAURANTS INC,861 W HARBOR DR,,SAN DIEGO,CA,92101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11807,480964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201731010254,,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Individual Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,JORDAN A NEDEFF,42 SOUTH PASADENA AVE,,,PASADENA,CA,United States,91105,Manager,-,-,-,-,-,-,False,False,True,True,False,True,True
11808,433353,TRIALS PUB,25 - SAN JOSE,TRIALS PUB,265 N 1ST ST   SAN JOSE  CA  95113,SANTA CLARA,5008.00,TRIALS PUB,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Trials Pub,http://www.trialspub.com/,  bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,TRIALS PUB,265 N 1ST ST   SAN JOSE  CA  95113,+1 408-947-0497,https://www.yelp.nl/biz/la-catalana-san-jose,,(408) 324-1321,https://lacatalanatapas.com,3.9,2802591,433353,15114 LYNN AVE,,,LOS GATOS,CA,United States,95032,Individual Agent,47 - ON-SALE GENERAL EATING PLACE,LIC,ACTIVE,2006-01-09,2024-12-31,P40,,Y,12,4313,25,TRIALS PUB,265 N 1ST ST,,SAN JOSE,CA,95113,TRIALS PUB, , , , , ,SANTA CLARA,5008,,,,,,,,,,,,,,,,,,Brad,J,van der Molen,265 N. 1st Street,,,San Jose,CA,United States,95113,Director,Chief Financial Officer,-,-,-,-,-,True,True,True,True,True,True,True
11809,394782,66 CALIFORNIA INC,12 - VENTURA,CAFE FIORE,66 S CALIFORNIA ST   VENTURA  CA  93001,VENTURA,24.00,66 CALIFORNIA INC,ACTIVE,,,,,N/A,Sales  service and consumption of alcoholic beverages shall be permitted only between the hours of 11:30 AM  and 01:30 AM each day of the week. The quarterly gross sales of alcoholic beverages shall not exceed the quarterly gross sales of food during the same period.  The licensee shall at all times maintain records which reflect separately the gross sale of food and the gross sales of alcoholic beverages of the licensed business.  Said records shall be kept no less frequently than on a quarterly basis and shall be made available to the Department on demand. During normal meal hours  the premises must possess the necessary utensils  table service  and condiment dispensers with which to serve meals to the public. Entertainment provided shall not be audible beyond the area under the control of the licensee(s)  as defined on the most recently certified ABC-257. If deemed necessary by the Department or by the City of Ventura  security will be provided on Friday and Saturday nights. The sale of alcoholic beverages for consumption off the premises is strictly prohibited. The petitioner(s) shall be responsible for maintaining free of litter the area adjacent to the premises over which they have control  as depicted on the most recently certified ABC-257 and ABC-253. Any graffiti painted or marked upon the premises or on any adjacent area under the control of the licensee(s)  as depicted on the most recently certified ABC-257 and ABC-253  shall be removed or painted over within 48 hours of being applied.,No Active Disciplinary Action found,Reg. Number:        14079851        Section:23804Section:24200(A&B)            Proceeding Status:            CLOSED                    Decision:            ALL STAYED,No Active Holds found,No Escrow found,,,N/A,,Cafe Fiore,https://www.cafefiore.net/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CAFE FIORE,66 S CALIFORNIA ST   VENTURA  CA  93001,+1 805-653-1266,https://www.yelp.nl/biz/cafe-fiore-ventura?osq=CAFE+FIORE,,(805) 653-1266,https://cafefiore.net,3.6,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,66 CALIFORNIA INC,66 S CALIFORNIA ST,,VENTURA,CA,93001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11810,299649,CASBAH ROCK INC,10 - SAN DIEGO,CASBAH THE,2501 KETTNER BLVD   SAN DIEGO  CA  92101,SAN DIEGO,61.00,CASBAH ROCK INC,ACTIVE,,,,,CODE 8 - SELF-INCORPORATION - HISTORICAL VALUE,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,,,N/A,,Casbah,http://www.casbahmusic.com/,  point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CASBAH THE,2501 KETTNER BLVD   SAN DIEGO  CA  92101,+1 619-232-4355,https://www.yelp.nl/biz/the-casbah-san-diego?osq=CASBAH+THE,,(619) 232-4355,https://casbahmusic.com,4.4,,,,,,,,,,,48 - ON-SALE GENERAL PUBLIC PREMISES,,,,,,,,,,,CASBAH ROCK INC,2501 KETTNER BLVD,,SAN DIEGO,CA,92101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11811,294323,A J CALOR INC,11 - SANTA ANA,EL CALOR,2916 W LINCOLN AVE   ANAHEIM  CA  92801,ORANGE,869.03,A J CALOR INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        97039493        Section:25663(a)Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15                        Stayed Days:            5                        POIC/Fine:            3000,No Active Holds found,No Escrow found,,,N/A,,El Calor Mexican,,  night_club |   bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,EL CALOR,2916 W LINCOLN AVE   ANAHEIM  CA  92801,+1 714-527-8873,https://www.yelp.nl/biz/el-calor-mexican-restaurant-and-nightclub-anaheim?osq=EL+CALOR,,(714) 527-8873,not url,2.5,,,,,,,,,,,48 - ON-SALE GENERAL PUBLIC PREMISES,,,,,,,,,,,A J CALOR INC,2916 W LINCOLN AVE,,ANAHEIM,CA,92801-6245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
11812,48514,LAS CASUELAS NUEVAS INC,08 - PALM DESERT,LAS CASUELAS NUEVAS,70050 HIGHWAY 111   RANCHO MIRAGE  CA  92270,RIVERSIDE,451.03,LAS CASUELAS NUEVAS INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        08068636        Section:25658(a)Section:24200(a)            Proceeding Status:            CLOSED                    Decision:            SUSPEND                        Suspension Days:            30                        Stayed Days:            15                        Suspension Start Date:            14-AUG-2008                        Suspension End Date:            28-AUG-2008,No Active Holds found,No Escrow found,,,N/A,,Las Casuelas Nuevas,http://www.lascasuelasnuevas.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P0,Y,1,LAS CASUELAS NUEVAS,70050 HIGHWAY 111   RANCHO MIRAGE  CA  92270,+1 760-328-8844,https://www.yelp.nl/biz/las-casuelas-nuevas-rancho-mirage?osq=LAS+CASUELAS+NUEVAS,,(760) 328-8844,https://lascasuelasnuevas.com,3.4,,,,,,,,,,,47 - ON-SALE GENERAL EATING PLACE,,,,,,,,,,,LAS CASUELAS NUEVAS INC,70050 HIGHWAY 111,,RANCHO MIRAGE,CA,92270-2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True,False
